PDF Name,Matched DB Code,Match Confidence,Original Price,New EGP,New EUR,Discount %
Bag 9 black,Lc5-dual,0.28,7.83,8.61,0.21,0
Bag 10 Black,LC-120-I,0.36,4.65,5.12,0.12,0
Bag 11 Large,Bag-111,0.81,14.47,15.92,0.38,0
Bag 11 Medium,Bag-111,0.75,11.81,12.99,0.31,0
Bag 13 Beige,Sp-m-23-Light up,0.36,3.72,4.09,0.1,0
Bag 14 black,LC-120-I,0.32,18.45,20.3,0.49,0
Bag 15 large,Box-Cable,0.31,15.66,17.23,0.42,0
Bag 15 small,Small,0.42,11.95,13.14,0.32,0
Bag 16 D.Grey,Bamboo -,0.31,4.65,5.12,0.12,0
Bag 16 New Black,Ca-1,0.35,4.38,4.82,0.12,0
Bag 16 black leather small,LC-120-I,0.45,2.92,3.21,0.08,0
bag 18 new black,Ca-1,0.35,7.83,8.61,0.21,0
Bag 20 black,LC-120-I,0.36,16.59,18.25,0.44,0
Bag 22 black,LC-120-B-Dual,0.29,4.12,4.53,0.11,0
Bag 22 white,Sp-m-23-Light up,0.36,5.0,5.5,0.13,0
Bag 23 black,Sp-m-23-Light up,0.36,7.3,8.03,0.19,0
Bag 25 black,LC-120-B-Dual,0.29,9.96,10.96,0.26,0
Bag 26,Sm-728,0.33,8.5,9.35,0.23,0
bag 28 black,Sm-728,0.33,13.94,15.33,0.37,0
Bag 30 black,Bag-301,0.61,17.26,18.99,0.46,0
عينصت Bag 31 new,Bag-801,0.75,1045.0,1149.5,27.74,0
Bag 32 black ( trolly ) Foldable for space saving,S100-Bamboo,0.42,1210.0,1331.0,32.13,0
Bag 33 Black,Sp-m-23-Light up,0.29,10.22,11.24,0.27,0
Bag 35 Black,Lc5-dual,0.27,4.38,4.82,0.12,0
Bag 38 black,Mg-6-380,0.29,6.64,7.3,0.18,0
Bag 39 black,Lc5-dual,0.27,5.97,6.57,0.16,0
Bag 40 black,Bag-401,0.8,4.91,5.4,0.13,0
Bag 42 black,LC-120-B-Dual,0.29,6.64,7.3,0.18,0
Bag 46 black,Lc5-dual,0.27,9.16,10.08,0.24,0
Bag 46 blue,W4,0.3,5.0,5.5,0.13,0
Bag 47 black,Lc5-dual,0.27,9.16,10.08,0.24,0
Bag 47 blue,W4,0.3,5.0,5.5,0.13,0
Bag 48 black,Mg-8,0.27,7.45,8.2,0.2,0
Bag 48 blue,Mg-8,0.33,0.0,0.0,0.0,0
BAG 49 SMALL BLACK,Small,0.45,5.18,5.7,0.14,0
دوسا لبح ةطنش,NB-Sticky-Plus-B5,0.5,0.93,1.02,0.02,0
قرزأ لبح ةطنش,NB-Sticky-Plus-B5,0.5,5.0,5.5,0.13,0
ضيبأ لبح ةطنش,NB-Sticky-Plus-B5,0.5,7.0,7.7,0.19,0
دوسا 1 طسو هطنش,Ca-1,0.93,2.79,3.07,0.07,0
قرزا 1 طسو هطنش,Ca-1,0.93,1.0,1.1,0.03,0
دوسا 3 طسو ةطنش,SM-3,0.93,5.26,5.79,0.14,0
يدامر 3 طسو ةطنش,SM-3,0.93,1.0,1.1,0.03,0
قرزا 3 طسو ةطنش,SM-3,0.93,5.0,5.5,0.13,0
white*blue handle,LC-120-I,0.41,1.73,1.9,0.05,0
white*white handle,4071,0.32,0.0,0.0,0.0,0
white*black handle,MP01,0.34,0.0,0.0,0.0,0
white*Red handle,PP01,0.34,0.0,0.0,0.0,0
Red*black handle,MP01,0.35,0.0,0.0,0.0,0
white*green handle,Ca-1,0.33,0.0,0.0,0.0,0
light grey*black handle,MP03,0.34,0.0,0.0,0.0,0
yellow*black handle,MP01,0.33,4.0,4.4,0.11,0
orange*black handle,MP01,0.36,0.0,0.0,0.0,0
white*white handle,4071,0.32,1.46,1.61,0.04,0
white*black handle,MP01,0.34,0.0,0.0,0.0,0
white*Red handle,PP01,0.34,4.0,4.4,0.11,0
Red*black handle,MP01,0.35,0.0,0.0,0.0,0
white*green handle,Ca-1,0.33,2.0,2.2,0.05,0
l i g h t g r e y * b l a c k h a n d l e,LC-120-I Watch,0.42,165.0,181.5,4.38,0
yellow*black handle,MP01,0.33,5.0,5.5,0.13,0
orange*black handle,MP01,0.36,0.0,0.0,0.0,0
Felt bag 5 black,LC120-B-dual-eva,0.36,3.72,4.09,0.1,0
Felt bag 5 Dark blue,LC-120-B-Dual,0.35,3.72,4.09,0.1,0
Felt bag 5 brown,Set-8,0.32,3.72,4.09,0.1,0
Felt bag 5 Grey,Box-Cable,0.29,987.0,1085.7,26.2,0
Felt bag 6 black,LC120-B-dual-eva,0.36,2.79,3.07,0.07,0
Felt bag 6 grey,Float-Be,0.31,2.79,3.07,0.07,0
Felt bag 6 brown,Mg-66,0.32,2.79,3.07,0.07,0
Felt bag 6 green,El-36,0.32,2.79,3.07,0.07,0
Felt bag 6 Red,Float-Be,0.32,2.79,3.07,0.07,0
Felt bag 7 black,LC120-B-dual-eva,0.36,2.79,3.07,0.07,0
Felt bag 7 D blue,Float-Be,0.34,2.79,3.07,0.07,0
Felt bag 7 Grey,Box-Cable,0.29,2.79,3.07,0.07,0
Felt bag 7 brown,Bg-703,0.33,2.79,3.07,0.07,0
Felt bag 7 green,LC-120-B-Dual,0.3,2.79,3.07,0.07,0
Felt bag 7 Red,Bg-703,0.31,2.79,3.07,0.07,0
كد ةطنش,NB-Sticky-Plus-B5,0.5,1.19,1.31,0.03,0
Cooler Bag 1 Black * Grey,LC-1,0.39,6.64,7.3,0.18,0
cooler bag 4 black,Lc5-dual,0.36,3.85,4.24,0.1,0
cooler bag 4 blue,W4,0.38,1.0,1.1,0.03,0
cooler bag 4 grey,Box-Cable,0.36,2.0,2.2,0.05,0
cooler bag 4 orange,Box-Cable,0.38,3.0,3.3,0.08,0
Lap Sleeve 1 black,LC120-Single,0.41,11.15,12.27,0.3,0
Lap Sleeve 2 black,LC120-Single,0.41,13.81,15.19,0.37,0
Lap Sleeve 3 black,LC120-Single,0.41,13.81,15.19,0.37,0
2 وسيي سا ةنيكام,2020-S-2,1.42,1155.0,1270.5,30.67,0
Coffe Machine 2 black,Box-Cable,0.37,5060.0,5566.0,134.34,0
Coffe Machine 3 black,Box-Cable,0.37,4180.0,4598.0,110.98,0
G 11 BLUE,Mg-8,0.29,10.0,11.0,0.27,0
G 11 ORANGE,101,0.32,0.77,0.85,0.02,0
G 12 BLUE BIG,Sp-m-23-Light up,0.41,0.0,0.0,0.0,0
G 12 RED BIG,Sp-m-23-Light up,0.36,1.0,1.1,0.03,0
G 12 ORANGE SMALL,LC-120-I,0.41,6.0,6.6,0.16,0
G 12 BLUE SMALL,LC-120-I,0.47,0.15,0.17,0.0,0
G 12 GREEN SMALL,LC-120-I,0.42,6.0,6.6,0.16,0
G 12 RED SMALL,LC-120-I,0.39,2.0,2.2,0.05,0
G 12 WHITE SMALL,LC-120-I,0.42,4.0,4.4,0.11,0
G 17 RED,Sm-728,0.29,0.77,0.85,0.02,0
G 39 Black,Lc5-dual,0.29,7.3,8.03,0.19,0
G 42 Large,Sp-m-23-Light up,0.38,2.26,2.49,0.06,0
Car Extra Pocket,CC1,0.38,0.5,0.55,0.01,0
Box Ramadan,Box,0.49,1650.0,1815.0,43.81,0
Sun shade 2 Silver*black,LC120-Single,0.37,2.02,2.22,0.05,0
Sun shade 2 Silver*Blue,Sp-m-23-Light up,0.41,6.0,6.6,0.16,0
SUN SHADE 3 BLACK * SILVER GOLD HAND,Ec-Ch-20-Blue,0.4,4.78,5.26,0.13,0
Sun Shade 4 silver silver,Lc5-dual,0.39,2.26,2.49,0.06,0
Sun shade 5 Silver*Blue,Mg-8,0.33,0.0,0.0,0.0,0
دوسا هسدع,NB-Sticky-Plus-B5,0.5,1.99,2.19,0.05,0
CAP 2 L.BLUE,Sp-m-23-Light up,0.5,0.48,0.53,0.01,0
Cap 3 black,Sp-m-23-Light up,0.37,1.27,1.4,0.03,0
Cap 3 blue,Sp-m-23-Light up,0.46,5.0,5.5,0.13,0
Cap 3 white,Sp-m-23-Light up,0.44,4.0,4.4,0.11,0
G 1 Blue,Mg-8,0.3,0.77,0.85,0.02,0
G 1 Pink,351,0.26,5.0,5.5,0.13,0
G 6 BLACK,Lc5-dual,0.29,4.91,5.4,0.13,0
G 6 BLUE,Mg-6-380,0.32,7.0,7.7,0.19,0
G 22 black,LC-120-I,0.33,2.26,2.49,0.06,0
G 22 white,Sp-m-23-Light up,0.38,5.0,5.5,0.13,0
G 23 black,Sp-m-23-Light up,0.38,2.92,3.21,0.08,0
G 23 white,Sp-m-23-Light up,0.46,5.0,5.5,0.13,0
G 24 black,LC-120-I,0.33,2.92,3.21,0.08,0
G 24 blue,Sp-m-23-Light up,0.4,5.0,5.5,0.13,0
G 24 white,Sp-m-23-Light up,0.38,5.0,5.5,0.13,0
G 25 black,LC-120-I,0.33,2.26,2.49,0.06,0
G 25 white,Sp-m-23-Light up,0.38,5.0,5.5,0.13,0
"G 27 "" 4 Cup Holder """,Sp-m-23-Light up,0.36,2.52,2.77,0.07,0
G 30,Mg-6-380,0.2,9.29,10.22,0.25,0
G 33 Black,Sp-m-23-Light up,0.31,3.58,3.94,0.1,0
G 33 Blue,Sp-m-23-Light up,0.4,3.0,3.3,0.08,0
G 33 Red,351,0.26,0.0,0.0,0.0,0
G 34 blue,Mg-6-380,0.31,3.58,3.94,0.1,0
G 34 pink,W4,0.27,3.0,3.3,0.08,0
ر ليبوم لماح باش _________ G 36 لاقترب,Sm-728,0.7,0.21,0.23,0.01,0
G 44 Coffe,Kc 414,0.26,3.19,3.51,0.08,0
G 44 Pink,W4,0.27,4.0,4.4,0.11,0
G 45 pink,W4,0.27,0.77,0.85,0.02,0
G 45 Coffee,Mg-8,0.28,5.0,5.5,0.13,0
G 46 Green Red,SM-4,0.35,0.77,0.85,0.02,0
G 47 Yellow,Mg-8,0.33,0.77,0.85,0.02,0
G 48 Silver,Mg-8,0.28,7.83,8.61,0.21,0
G 49 Pink,W4,0.27,5.04,5.54,0.13,0
Chair 1 Black,LC-120-I,0.36,7.04,7.74,0.19,0
Chair 2 blue,Sp-m-23-Light up,0.36,3.85,4.24,0.1,0
Chair 3 Black,Lc5-dual,0.31,14.34,15.77,0.38,0
Chair 4 black (set),Lc5-dual,0.37,1012.0,1113.2,26.87,0
Chair 4 blue (set),CC1,0.34,1.0,1.1,0.03,0
Travel Kit 1 ( 6 in 1 ) black grey,13-5,0.41,11.28,12.41,0.3,0
دوسأ ةبقر ةدخم,NB-Sticky-Plus-B5,0.5,3.32,3.65,0.09,0
قرزأ ةبقر ةدخم,NB-Sticky-Plus-B5,0.5,0.0,0.0,0.0,0
ز سكول تكار بضم,NB-Sticky-Plus-B5,0.5,3.32,3.65,0.09,0
رحب هطوف,NB-Sticky-Plus-B5,0.5,5.18,5.7,0.14,0
كيتسلاب رياط قبط,NB-Sticky-Plus-B5,0.5,0.5,0.55,0.01,0
T Shirt,CC1,0.32,3.85,4.24,0.1,0
T shirt Polo medium blue,Pen Holder,0.32,5.97,6.57,0.16,0
T shirt Polo large blue,LC-120-Dual,0.34,0.0,0.0,0.0,0
T shirt Polo 2X large blue,S5 white,0.33,0.0,0.0,0.0,0
) يز شو ( رحب ةيقاط,NB-Sticky-Plus-B5,0.5,0.0,0.0,0.0,0
Spinner 6,Sp-m-23-Light up,0.32,2.79,3.07,0.07,0
Spinner 7,Sm-728,0.4,2.79,3.07,0.07,0
