0,1,2,3,4,5,6,7,8,9
FLASH MEMORY,,,,,,,,,
PIC,CODE,هدبع,عىرفلا,ةكسلا,QTY,Price,SOCIAL MEDIA,,
,yellow*black handle,760,31,5,796,,,,
,orange*black handle,1000,73,0,1073,,,,
,Felt bag 5 black,1538,17,5,1560,140.0,195,,
,Felt bag 5 Dark blue,970,25,5,1000,140.0,195,,
,Felt bag 5 brown,985,21,5,1011,140.0,195,,
,Felt bag 5 Grey,965,17,5,987,`140,195,,
,Felt bag 6 black,1230,27,5,1262,105.0,135,,
,Felt bag 6 grey,960,5,5,970,105.0,135,,
,Felt bag 6 brown,930,24,5,959,105.0,135,,
,Felt bag 6 green,460,18,5,483,105.0,135,,
,Felt bag 6 Red,460,24,5,489,105.0,135,,
,Felt bag 7 black,0,21,0,21,105.0,135,,
,Felt bag 7 D blue,0,51,0,51,105.0,135,,
,Felt bag 7 Grey,0,89,5,94,105.0,135,,
,Felt bag 7 brown,650,10,3,663,105.0,135,,
,Felt bag 7 green,960,25,5,990,105.0,135,,
,Felt bag 7 Red,700,32,5,737,105.0,135,,
,كد ةطنش,0,0,0,0,45.0,75,نول ةعابط لماش 10 ةفاضاو / دحاو نشيملبس ةعابط ج,
,Cooler Bag 1 Black * Grey,0,10,3,13,250.0,295,stock,
,cooler bag 4 black,200,21,1,222,145.0,195,ج 5 فاضي نول دحاو ةعابط / نول 2 ج 10 / نشيملبس ج15,
,cooler bag 4 blue,204,12,1,217,,,,
,cooler bag 4 grey,0,5,2,7,,,,
,cooler bag 4 orange,0,6,3,9,,,,
,Lap Sleeve 1 black,360,12,5,377,420.0,490,,
,Lap Sleeve 2 black,480,4,5,489,520.0,590,,
,Lap Sleeve 3 black,360,58,5,423,520.0,590,,
General,,,,,,,,,
PIC,CODE,هدبع,عىرفلا,ةكسلا,QTY,Price,SOCIAL MEDIA,,
,2 وسيي سا ةنيكام,0,8,1,9,"1,050.0","1,250",,
,Coffe Machine 2 black,64,17,4,85,"4,600.0","4,800",,
,Coffe Machine 3 black,132,12,4,148,"3,800.0","4,000",,
,G 11 BLUE,900,11,10,921,,,,
,G 11 ORANGE,1400,67,5,1472,29.0,39,,
,G 12 BLUE BIG,130,6,0,136,,,,
,G 12 RED BIG,370,5,1,376,,,,
,G 12 ORANGE SMALL,600,14,6,620,,,,
,G 12 BLUE SMALL,500,51,0,551,5.5,7,,
,G 12 GREEN SMALL,260,10,6,276,,,,
,G 12 RED SMALL,630,3,2,635,,,,
,G 12 WHITE SMALL,1000,25,4,1029,,,,
,G 17 RED,90,8,5,103,29.0,35,,
,G 39 Black,0,8,0,8,275.0,295,,
,G 42 Large,890,2,0,892,85.0,125,,
,Car Extra Pocket,1800,51,6,1857,19.0,29,,
,Box Ramadan,0,130,0,130,"1,500.0","1,775",,
,Sun shade 2 Silver*black,1400,95,6,1501,75.9,90,ج 10 فاضي نول دحاو ةعابط نشيملبس ج15 /,
,Sun shade 2 Silver*Blue,2100,70,6,2176,,,,
,SUN SHADE 3 BLACK * SILVER GOLD HAND,0,0,0,0,180.0,215,ج 10 فاضي نول دحاو ةعابط نشيملبس ج 15 /,
,Sun Shade 4 silver silver,3300,81,9,3390,85.0,95,,
,Sun shade 5 Silver*Blue,0,42,0,42,,,,
,دوسا هسدع,0,51,0,51,75.0,95,,
SUMMER,,,,,,,,,
PIC,CODE,هدبع,عىرفلا,ةكسلا,QTY,Price,SOCIAL MEDIA,,
,CAP 2 L.BLUE,300,1,0,301,18.0,25,,
,Cap 3 black,5500,58,6,5564,48.0,55.0,,
,Cap 3 blue,6500,19,5,6524,,,,
,Cap 3 white,6900,92,4,6996,,,,
,G 1 Blue,0,541,3,544,29.0,39,,
,G 1 Pink,0,770,5,775,,,,
,G 6 BLACK,1600,71,4,1675,185.0,220,,
,G 6 BLUE,1200,26,7,1233,,,,
,G 22 black,2400,24,5,2429,85.0,125.0,,
,G 22 white,2200,39,5,2244,,,,
,G 23 black,1000,73,5,1078,110.0,145.0,,
,G 23 white,1100,10,5,1115,,,,
,G 24 black,1100,7,5,1112,110.0,145.0,,
,G 24 blue,1100,11,5,1116,,,,
,G 24 white,1100,11,5,1116,,,,
,G 25 black,1900,63,5,1968,85.0,125.0,,
,G 25 white,1900,89,5,1994,,,,
,"G 27 "" 4 Cup Holder """,1800,18,1,1819,95.0,125,,
,G 30,0,52,4,56,350.0,400,,
,G 33 Black,1800,60,2,1862,135.0,185,,
,G 33 Blue,700,11,3,714,,,,
,G 33 Red,500,10,0,510,,,,
,G 34 blue,180,9,2,191,135.0,185,,
,G 34 pink,400,19,3,422,,,,
,ر ليبوم لماح باش _________ G 36 لاقترب,0,337,18,355,8.0,15,,
,G 44 Coffe,800,59,5,864,120.0,175,,
,G 44 Pink,300,24,4,328,,,,
,G 45 pink,900,26,5,931,29.0,38,,
,G 45 Coffee,900,26,5,931,,,,
,G 46 Green Red,1500,93,8,1601,29.0,38,,
,G 47 Yellow,1400,86,5,1491,29.0,38,,
,G 48 Silver,1300,74,8,1382,295.0,345,,
,G 49 Pink,1650,40,4,1694,190.0,225,,
,Chair 1 Black,80,19,3,102,265.0,315,,
,Chair 2 blue,200,34,7,241,145.0,195,,
,Chair 3 Black,0,0,0,0,540.0,645,,
,Chair 4 black (set),56,8,3,67,920.0,"1,050",,
,Chair 4 blue (set),0,3,1,4,,,,
,Travel Kit 1 ( 6 in 1 ) black grey,0,0,1,1,425.0,495,,
,دوسأ ةبقر ةدخم,0,0,0,0,125.0,195,بلطلاب,
,قرزأ ةبقر ةدخم,0,0,0,0,,,,
هروصلا ي يغت,ز سكول تكار بضم,0,13,0,13,125.0,175,,
,رحب هطوف,0,00,0,بلطلاب هيمكلا,195.0,245,ةعابط نشيملبس,
,كيتسلاب رياط قبط,0,00,0,100 ةيمك لقا,19.0,29,دحاو نول ةعابط نيركس كلس,
,ةرايط,0,0,0,بلطلاب هيمكلا,145.0,195,لماش رعسلا ةعابطلا,
,T Shirt,0,0,0,,145.0,195,,
,T shirt Polo medium blue,0,0,0,0,225.0,275,,
,T shirt Polo large blue,0,0,0,0,,,,
,T shirt Polo 2X large blue,0,0,0,0,,,,
,) يز شو ( رحب ةيقاط,0,0,0,ةيمك لقا 200,شو ةعابط 115 ج 145 / دحاو يز شو ةعابط,ةعابط ج145 ج165/ دحاو شو يز شو ةعابط,,
,Spinner 6,0,168,7,175,105.0,175,,
,Spinner 7,0,126,3,129,105.0,175,,
